Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
XGBoost,0.996416354455123,0.9920499716070414,0.9954415954415955,0.9937428896473265,0.9995293686443321
LightGBM,0.9946245316826845,0.9892045454545455,0.992022792022792,0.9906116642958748,0.9995556231413896
CatBoost,0.9947874246619971,0.9914432401597262,0.9903133903133903,0.9908779931584949,0.9997504523051968
RandomForest,0.9973937123309985,0.9948776323278316,0.996011396011396,0.9954441913439636,0.9999694564019381
LogisticRegression,0.6360970842156703,0.4284005979073244,0.8165242165242165,0.5619607843137255,0.747588485453449
SVM,0.5891839061736439,0.39926451273969005,0.8660968660968661,0.5465659834591874,0.7525825586956973
MLP,0.7633165010588043,0.5803191489361702,0.6216524216524216,0.6002751031636864,0.8412646609270696
